"umap_1","umap_2","cell_types","cellID"
-2.29307606982965,-5.42605776377497,"Myeloid cells","sample_2d_r1_s1-cell_250"
-2.89082840251703,-10.8768577057916,"Cardiac fibroblasts","sample_2d_r1_s1-cell_251"
-2.96340158748407,-10.7491082627374,"Cardiac fibroblasts","sample_2d_r1_s1-cell_253"
0.933184175016695,-1.16843707152186,"Endothelial cells","sample_2d_r1_s1-cell_255"
1.7255967540763,-0.20707238503275,"Endothelial cells","sample_2d_r1_s1-cell_257"
5.62669083309394,-0.824344225605107,"Endothelial cells","sample_2d_r1_s1-cell_258"
10.2394904775641,-6.21324295588312,"Myeloid cells","sample_2d_r1_s1-cell_259"
2.24376723003607,-0.857090540607548,"Endothelial cells","sample_2d_r1_s1-cell_260"
1.87595912647467,-0.827434726436711,"Endothelial cells","sample_2d_r1_s1-cell_261"
-12.012023003576,0.849022052804851,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_263"
7.16543909740668,-4.98037142344294,"Myeloid cells","sample_2d_r1_s1-cell_264"
-12.1781702356317,1.2418691437644,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_267"
-3.31022504138727,4.08495312146368,"Cardiomyocytes","sample_2d_r1_s1-cell_268"
6.55652758312445,-5.85392088480768,"Myeloid cells","sample_2d_r1_s1-cell_269"
-5.14411023425836,-3.25002235956965,"Smooth muscle cells","sample_2d_r1_s1-cell_270"
1.57414468956214,-1.34506876059351,"Endothelial cells","sample_2d_r1_s1-cell_271"
2.59320947361212,-1.44426388331232,"Endothelial cells","sample_2d_r1_s1-cell_272"
1.42704567146521,-1.50354630537806,"Endothelial cells","sample_2d_r1_s1-cell_277"
-3.33063128757257,4.96617608479681,"Cardiomyocytes","sample_2d_r1_s1-cell_278"
4.46365162563544,-6.88428682871637,"Myeloid cells","sample_2d_r1_s1-cell_279"
6.900237051966,-6.39371389933405,"Myeloid cells","sample_2d_r1_s1-cell_280"
2.42083522510748,-1.68849534579096,"Endothelial cells","sample_2d_r1_s1-cell_281"
-12.0210409479119,1.1872882764739,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_282"
-1.65512302684564,-7.14936155863581,"Cardiac fibroblasts","sample_2d_r1_s1-cell_284"
2.72618934345465,-5.6512736756402,"Myeloid cells","sample_2d_r1_s1-cell_285"
-4.37488511371393,6.08067565373602,"Cardiomyocytes","sample_2d_r1_s1-cell_289"
-4.37465194034356,6.32617383412542,"Cardiomyocytes","sample_2d_r1_s1-cell_290"
5.04482409191352,-0.873064466198064,"Endothelial cells","sample_2d_r1_s1-cell_292"
-11.9762516336419,0.217837921897792,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_293"
-2.43463805484552,-6.57440895624933,"Cardiac fibroblasts","sample_2d_r1_s1-cell_294"
3.91934415531378,-6.83749718256769,"Myeloid cells","sample_2d_r1_s1-cell_298"
-4.73049310016412,4.60141377858343,"Cardiomyocytes","sample_2d_r1_s1-cell_301"
1.23477968406897,-0.774543591220952,"Endothelial cells","sample_2d_r1_s1-cell_304"
1.89975806904059,-0.277666755397893,"Endothelial cells","sample_2d_r1_s1-cell_306"
9.5038394613288,-5.99087709971247,"Myeloid cells","sample_2d_r1_s1-cell_307"
1.41674575042945,-4.01522059031305,"Endothelial cells","sample_2d_r1_s1-cell_308"
1.2651223821662,-0.530791886528111,"Endothelial cells","sample_2d_r1_s1-cell_309"
3.12946864795905,-9.55686564036188,"Myeloid cells","sample_2d_r1_s1-cell_312"
9.8311681432746,-5.72213453837214,"Myeloid cells","sample_2d_r1_s1-cell_313"
6.78498980236273,-5.93269199915705,"Myeloid cells","sample_2d_r1_s1-cell_316"
1.57949551773291,4.13089304379644,"Cardiomyocytes","sample_2d_r1_s1-cell_317"
-0.471576841352171,-8.47102636881647,"Cardiac fibroblasts","sample_2d_r1_s1-cell_318"
-0.225103677985853,5.01202922276678,"Cardiomyocytes","sample_2d_r1_s1-cell_319"
7.27347466182929,-5.10784525461969,"Myeloid cells","sample_2d_r1_s1-cell_323"
-12.6091451959588,1.10056316069784,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_325"
3.08037921619635,-1.53146190234003,"Endothelial cells","sample_2d_r1_s1-cell_327"
0.627560941698366,-3.77066607065973,"Endothelial cells","sample_2d_r1_s1-cell_328"
-1.89837053584833,-9.19848055430231,"Cardiac fibroblasts","sample_2d_r1_s1-cell_329"
-3.46747616100091,7.98706679753485,"Cardiomyocytes","sample_2d_r1_s1-cell_332"
-2.0936115102746,-10.884927697857,"Cardiac fibroblasts","sample_2d_r1_s1-cell_333"
0.766781954290682,-3.77269692011652,"Endothelial cells","sample_2d_r1_s1-cell_334"
7.06242081356269,-5.1379622895318,"Myeloid cells","sample_2d_r1_s1-cell_336"
10.1113691015266,-6.6498612839776,"Myeloid cells","sample_2d_r1_s1-cell_338"
-3.58547309207696,7.66271596364202,"Cardiomyocytes","sample_2d_r1_s1-cell_340"
-4.28714707660455,6.02441459111395,"Cardiomyocytes","sample_2d_r1_s1-cell_343"
10.59025665951,-5.16919941492853,"Myeloid cells","sample_2d_r1_s1-cell_344"
1.0056333823226,4.38298445157232,"Cardiomyocytes","sample_2d_r1_s1-cell_345"
2.72712394428473,-2.15069670267878,"Endothelial cells","sample_2d_r1_s1-cell_347"
9.28191181850653,-6.18512148447809,"Myeloid cells","sample_2d_r1_s1-cell_348"
-0.217659385678953,5.1592298071784,"Cardiomyocytes","sample_2d_r1_s1-cell_349"
-12.2797460870721,1.32499932460012,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_350"
0.976660160543734,-3.03249282427607,"Endothelial cells","sample_2d_r1_s1-cell_351"
-0.820137472627348,-9.95615381785212,"Cardiac fibroblasts","sample_2d_r1_s1-cell_352"
-3.29524544048089,-10.7243480164605,"Cardiac fibroblasts","sample_2d_r1_s1-cell_355"
-1.728847058294,-9.41422075815973,"Cardiac fibroblasts","sample_2d_r1_s1-cell_356"
-0.992194445607847,-4.68213600703058,"Cardiac fibroblasts","sample_2d_r1_s1-cell_357"
-12.3517856912591,-0.942269750316716,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_358"
-1.89009693431634,0.704603276769542,"Endothelial cells","sample_2d_r1_s1-cell_365"
