"cellID","X_centroid","Y_centroid","anno_cell_type_lvl2"
"sample_2d_r2_s1-cell_599",5404.81576314353,22148.2212226646,"Cardiomyocytes"
"sample_2d_r2_s1-cell_600",8020.79287621428,22186.3716100371,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_602",5555.3585641826,22176.1727115092,"Endothelial cells"
"sample_2d_r2_s1-cell_604",6212.65564620009,22175.0732101416,"Endothelial cells"
"sample_2d_r2_s1-cell_605",5777.0706381144,22152.1266557308,"Endothelial cells"
"sample_2d_r2_s1-cell_607",6275.77175549533,22126.5203109905,"Myeloid cells"
"sample_2d_r2_s1-cell_614",5970.68445393099,22122.1191896216,"Endothelial cells"
"sample_2d_r2_s1-cell_617",8367.45713259718,22133.9845915609,"Myeloid cells"
"sample_2d_r2_s1-cell_618",6109.04198864165,22112.4585735614,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_624",8283.6695106246,22078.1083321937,"Myeloid cells"
"sample_2d_r2_s1-cell_625",5647.54309623431,22141.8254704361,"Endothelial cells"
"sample_2d_r2_s1-cell_627",5552.37615724905,22045.3964462091,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_632",5604.67535287731,22108.3537024379,"Endothelial cells"
"sample_2d_r2_s1-cell_640",5980.26070763501,22051.2724936473,"Smooth muscle cells"
"sample_2d_r2_s1-cell_645",6071.31506543724,22000.4516831345,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_650",6723.29513399154,22006.6110589936,"Myeloid cells"
"sample_2d_r2_s1-cell_651",7204.49479490689,22011.7887121655,"Endothelial cells"
"sample_2d_r2_s1-cell_652",6411.45529674808,21985.8089441335,"Endothelial cells"
"sample_2d_r2_s1-cell_656",8324.19031066696,22014.2612179066,"Myeloid cells"
"sample_2d_r2_s1-cell_669",5924.24065769806,21974.8877928933,"Endothelial cells"
"sample_2d_r2_s1-cell_671",6712.78525725594,21873.1738036958,"Endothelial cells"
"sample_2d_r2_s1-cell_675",5857.34631931166,21932.0338110363,"Endothelial cells"
"sample_2d_r2_s1-cell_683",6527.81984901014,21864.1809058825,"Myeloid cells"
"sample_2d_r2_s1-cell_685",5901.20894844424,21917.5346390611,"Endothelial cells"
"sample_2d_r2_s1-cell_689",6011.85882803524,21873.1507998679,"Myeloid cells"
"sample_2d_r2_s1-cell_691",6447.81389698737,21915.9811466217,"Endothelial cells"
"sample_2d_r2_s1-cell_692",6244.24605372473,21879.3872028924,"Myeloid cells"
"sample_2d_r2_s1-cell_698",6396.09438991882,21875.2357800636,"Myeloid cells"
"sample_2d_r2_s1-cell_699",5031.59827420901,21890.1783276993,"Myeloid cells"
"sample_2d_r2_s1-cell_707",5801.28194056388,21843.6756726269,"Myeloid cells"
"sample_2d_r2_s1-cell_708",4987.78072149234,21761.8341829741,"Myeloid cells"
"sample_2d_r2_s1-cell_716",6172.52936746988,21754.2589763566,"Pericytes"
"sample_2d_r2_s1-cell_717",6279.98677056905,21756.5784985252,"Endothelial cells"
"sample_2d_r2_s1-cell_732",4952.27716849452,21754.9708093148,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_744",5835.29506595017,21701.9726059523,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_764",4996.92494820045,21603.600930692,"Cardiomyocytes"
"sample_2d_r2_s1-cell_768",4938.41861531408,21620.2845296242,"Myeloid cells"
