final_cell_type,region_name,timepoint,mean_count,se_count
Macrophages Trem2+,All,24h,11.184374380838033,4.775818552653377
Macrophages Trem2+,All,48h,132.63636185596187,4.251281330907602
Macrophages Trem2+,"Near-Infarct
Endocardial Region",Control,3.505537173872143,0.0
Macrophages Trem2+,"Near-Infarct
Endocardial Region",4h,9.70900600549485,3.8728601177079662
Macrophages Trem2+,"Near-Infarct
Endocardial Region",24h,13.022646695712893,5.385061773554123
Macrophages Trem2+,"Near-Infarct
Endocardial Region",48h,46.89063174242358,17.258514829483133
Macrophages Trem2+,"Remote
Endocardial Region",Control,3.505537173872143,0.0
Macrophages Trem2+,"Remote
Endocardial Region",4h,27.52214775307559,16.13889921640642
Macrophages Trem2+,"Remote
Endocardial Region",24h,10.548152680103001,0.9160143122315132
Macrophages Trem2+,"Remote
Endocardial Region",48h,137.88151132852238,42.89300987660012
Macrophages Trem2+,Infarct Core,Control,6.728372911741453,3.494495536079664
Macrophages Trem2+,Infarct Core,4h,2.831458900263079,0.8577512830447037
Macrophages Trem2+,Infarct Core,24h,2.903060646257525,0.18827038924192085
Macrophages Trem2+,Infarct Core,48h,68.69233878188285,14.981546599730224
Macrophages Trem2+,Border zone,Control,6.86337263700518,1.432958195427713
Macrophages Trem2+,Border zone,4h,5.767233107146622,1.2366933973947587
Macrophages Trem2+,Border zone,24h,8.70946247781573,3.9890729988547564
Macrophages Trem2+,Border zone,48h,187.8258539250741,8.860088953692566
Macrophages Trem2+,"Near-Infarct
Epicardial Region",Control,22.082754666663963,4.957908032168239
Macrophages Trem2+,"Near-Infarct
Epicardial Region",4h,4.696577199103317,1.7010319989850933
Macrophages Trem2+,"Near-Infarct
Epicardial Region",24h,64.10761812910738,14.69872054211024
Macrophages Trem2+,"Near-Infarct
Epicardial Region",48h,154.4949982838975,68.88108176667349
Macrophages Trem2-,All,Control,6.406074572062274,3.8483268290949377
Macrophages Trem2-,All,4h,5.236652378347652,2.2931764966665713
Macrophages Trem2-,All,24h,7.380477252144256,1.7264178721181507
Macrophages Trem2-,All,48h,7.5083325491321915,2.289742046406962
Macrophages Trem2-,"Near-Infarct
Endocardial Region",Control,12.279466272096439,5.268391924352153
Macrophages Trem2-,"Near-Infarct
Endocardial Region",4h,9.910705724747729,1.7615860508260397
Macrophages Trem2-,"Near-Infarct
Endocardial Region",24h,2.9320467010545266,0.8867457600248585
Macrophages Trem2-,"Near-Infarct
Endocardial Region",48h,4.93868615215674,0.0
Macrophages Trem2-,"Remote
Endocardial Region",Control,12.279466272096439,5.268391924352153
Macrophages Trem2-,"Remote
Endocardial Region",4h,14.423833662230987,3.040585125561816
Macrophages Trem2-,"Remote
Endocardial Region",24h,17.196250488501768,0.0
Macrophages Trem2-,"Remote
Endocardial Region",48h,24.996974066295323,0.0
Macrophages Trem2-,Infarct Core,Control,7.523517487160493,3.5776093287682977
Macrophages Trem2-,Infarct Core,4h,1.778195342184094,0.9887122952967438
