timepoint,fov,region_name,final_cell_type,count,total_count,percentage,area_px,area_um,count_per_um2,count_per_mm2
48h,48h_79,other_cardiac_tissue,Other Leukocytes,246,46267,0.005316964575183176,200614974,10612532.1246,2.3180141846616276e-05,23.180141846616277
48h,48h_79,other_cardiac_tissue,Smooth muscle cells,763,46267,0.016491235653921802,200614974,10612532.1246,7.189613101206593e-05,71.89613101206594
48h,48h_79,remote_endocardial_region,Cardiomyocytes,375,895,0.41899441340782123,2509680,132762.07200000001,0.0028246018938300386,2824.6018938300385
48h,48h_79,remote_endocardial_region,Endocardial cells,58,895,0.06480446927374302,2509680,132762.07200000001,0.000436871759579046,436.871759579046
48h,48h_79,remote_endocardial_region,Endothelial cells,158,895,0.17653631284916202,2509680,132762.07200000001,0.0011900989312670564,1190.0989312670565
48h,48h_79,remote_endocardial_region,Fibroblasts,205,895,0.22905027932960895,2509680,132762.07200000001,0.0015441157019604212,1544.1157019604211
48h,48h_79,remote_endocardial_region,Macrophages Trem2+,24,895,0.026815642458100558,2509680,132762.07200000001,0.0001807745212051225,180.77452120512248
48h,48h_79,remote_endocardial_region,Mono / Macros Ccr2+,69,895,0.07709497206703911,2509680,132762.07200000001,0.0005197267484647271,519.7267484647272
48h,48h_79,remote_endocardial_region,Other Leukocytes,2,895,0.0022346368715083797,2509680,132762.07200000001,1.5064543433760206e-05,15.064543433760205
48h,48h_79,remote_endocardial_region,Smooth muscle cells,4,895,0.004469273743016759,2509680,132762.07200000001,3.0129086867520412e-05,30.12908686752041
4h,4h_96,border_zone,Cardiomyocytes,3758,9963,0.3771956238080899,45897293,2427966.7997000003,0.001547797111749773,1547.797111749773
4h,4h_96,border_zone,Cardiomyocytes Ankrd1+,4465,9963,0.44815818528555657,45897293,2427966.7997000003,0.0018389872549129155,1838.9872549129154
4h,4h_96,border_zone,Endocardial cells,97,9963,0.009736023286158788,45897293,2427966.7997000003,3.9951122895084616e-05,39.951122895084616
4h,4h_96,border_zone,Endothelial cells,784,9963,0.07869115728194319,45897293,2427966.7997000003,0.0003229039211314055,322.9039211314055
4h,4h_96,border_zone,Fibroblasts,361,9963,0.03623406604436415,45897293,2427966.7997000003,0.00014868407592912933,148.68407592912934
4h,4h_96,border_zone,Macrophages Trem2+,11,9963,0.0011040851149252233,45897293,2427966.7997000003,4.530539709751864e-06,4.530539709751864
4h,4h_96,border_zone,Macrophages Trem2-,16,9963,0.0016059419853457794,45897293,2427966.7997000003,6.5898759414572556e-06,6.589875941457255
4h,4h_96,border_zone,Mono / Macros Ccr2+,125,9963,0.012546421760513902,45897293,2427966.7997000003,5.1483405792634814e-05,51.48340579263481
4h,4h_96,border_zone,Neutrophils,210,9963,0.021077988557663355,45897293,2427966.7997000003,8.649212173162649e-05,86.49212173162648
4h,4h_96,border_zone,Other Leukocytes,64,9963,0.006423767941383118,45897293,2427966.7997000003,2.6359503765829022e-05,26.35950376582902
4h,4h_96,border_zone,Smooth muscle cells,72,9963,0.007226738934056007,45897293,2427966.7997000003,2.9654441736557653e-05,29.654441736557654
4h,4h_96,endocardial_region,Cardiomyocytes,1229,1906,0.6448058761804827,6959129,368137.92410000006,0.003338422693083252,3338.422693083252
4h,4h_96,endocardial_region,Cardiomyocytes Ankrd1+,153,1906,0.08027282266526757,6959129,368137.92410000006,0.0004156051033700061,415.60510337000613
4h,4h_96,endocardial_region,Endocardial cells,132,1906,0.06925498426023086,6959129,368137.92410000006,0.00035856126565255434,358.56126565255437
4h,4h_96,endocardial_region,Endothelial cells,178,1906,0.09338929695697797,6959129,368137.92410000006,0.00048351443398602024,483.5144339860202
4h,4h_96,endocardial_region,Fibroblasts,87,1906,0.04564533053515215,6959129,368137.92410000006,0.00023632447054372898,236.32447054372898
4h,4h_96,endocardial_region,Macrophages Trem2+,5,1906,0.0026232948583420775,6959129,368137.92410000006,1.3581866123202816e-05,13.581866123202815
4h,4h_96,endocardial_region,Macrophages Trem2-,3,1906,0.0015739769150052466,6959129,368137.92410000006,8.14911967392169e-06,8.149119673921689
4h,4h_96,endocardial_region,Mono / Macros Ccr2+,33,1906,0.017313746065057714,6959129,368137.92410000006,8.964031641313859e-05,89.64031641313859
4h,4h_96,endocardial_region,Neutrophils,78,1906,0.040923399790136414,6959129,368137.92410000006,0.0002118771115219639,211.8771115219639
4h,4h_96,endocardial_region,Other Leukocytes,7,1906,0.0036726128016789086,6959129,368137.92410000006,1.901461257248394e-05,19.01461257248394
4h,4h_96,endocardial_region,Smooth muscle cells,1,1906,0.0005246589716684155,6959129,368137.92410000006,2.716373224640563e-06,2.716373224640563
4h,4h_96,epicardial_region,Cardiomyocytes,352,842,0.4180522565320665,2954790,156308.39100000003,0.0022519584377271207,2251.958437727121
4h,4h_96,epicardial_region,Cardiomyocytes Ankrd1+,327,842,0.38836104513064135,2954790,156308.39100000003,0.0020920182077749103,2092.0182077749105
4h,4h_96,epicardial_region,Endothelial cells,98,842,0.1163895486935867,2954790,156308.39100000003,0.0006269657014126642,626.9657014126642
4h,4h_96,epicardial_region,Fibroblasts,49,842,0.05819477434679335,2954790,156308.39100000003,0.0003134828507063321,313.4828507063321
4h,4h_96,epicardial_region,Macrophages Trem2+,1,842,0.0011876484560570072,2954790,156308.39100000003,6.397609198088411e-06,6.397609198088411
4h,4h_96,epicardial_region,Mono / Macros Ccr2+,3,842,0.0035629453681710215,2954790,156308.39100000003,1.919282759426523e-05,19.192827594265232
4h,4h_96,epicardial_region,Other Leukocytes,11,842,0.013064133016627079,2954790,156308.39100000003,7.037370117897252e-05,70.37370117897252
4h,4h_96,epicardial_region,Smooth muscle cells,1,842,0.0011876484560570072,2954790,156308.39100000003,6.397609198088411e-06,6.397609198088411
4h,4h_96,infarct_core,Cardiomyocytes,2405,9054,0.26562845151314335,47888531,2533303.2899,0.0009493533638820384,949.3533638820385
4h,4h_96,infarct_core,Cardiomyocytes Ankrd1+,5558,9054,0.6138723216258007,47888531,2533303.2899,0.0021939733872999457,2193.973387299946
4h,4h_96,infarct_core,Endothelial cells,491,9054,0.05423017450850453,47888531,2533303.2899,0.00019381808801084444,193.81808801084443
4h,4h_96,infarct_core,Fibroblasts,269,9054,0.029710625138060526,47888531,2533303.2899,0.00010618546980634858,106.18546980634858
4h,4h_96,infarct_core,Macrophages Trem2+,5,9054,0.000552242102937928,47888531,2533303.2899,1.973707617218375e-06,1.9737076172183752
4h,4h_96,infarct_core,Macrophages Trem2-,2,9054,0.0002208968411751712,47888531,2533303.2899,7.894830468873501e-07,0.78948304688735
4h,4h_96,infarct_core,Mono / Macros Ccr2+,30,9054,0.0033134526176275677,47888531,2533303.2899,1.1842245703310251e-05,11.842245703310251
4h,4h_96,infarct_core,Neutrophils,71,9054,0.007841837861718578,47888531,2533303.2899,2.8026648164500925e-05,28.026648164500926
4h,4h_96,infarct_core,Other Leukocytes,36,9054,0.003976143141153081,47888531,2533303.2899,1.4210694843972302e-05,14.210694843972302
4h,4h_96,infarct_core,Smooth muscle cells,187,9054,0.020653854649878508,47888531,2533303.2899,7.381666488396723e-05,73.81666488396723
4h,4h_96,other_cardiac_tissue,Cardiomyocytes,19703,29236,0.6739294021069914,131756856,6969937.682400001,0.0028268545427246267,2826.8545427246268
4h,4h_96,other_cardiac_tissue,Cardiomyocytes Ankrd1+,3504,29236,0.1198522369681215,131756856,6969937.682400001,0.0005027304632648375,502.73046326483745
4h,4h_96,other_cardiac_tissue,Endocardial cells,148,29236,0.0050622520180599265,131756856,6969937.682400001,2.1234049247487426e-05,21.234049247487427
4h,4h_96,other_cardiac_tissue,Endothelial cells,3515,29236,0.12022848542892324,131756856,6969937.682400001,0.0005043086696278264,504.30866962782636
4h,4h_96,other_cardiac_tissue,Fibroblasts,1566,29236,0.05356409905595841,131756856,6969937.682400001,0.00022467919676733318,224.67919676733317
4h,4h_96,other_cardiac_tissue,Macrophages Trem2+,50,29236,0.0017102202763715968,131756856,6969937.682400001,7.173665286313319e-06,7.1736652863133195
4h,4h_96,other_cardiac_tissue,Macrophages Trem2-,14,29236,0.00047886167738404704,131756856,6969937.682400001,2.0086262801677296e-06,2.0086262801677295
4h,4h_96,other_cardiac_tissue,Mono / Macros Ccr2+,122,29236,0.004172937474346695,131756856,6969937.682400001,1.75037432986045e-05,17.503743298604498
4h,4h_96,other_cardiac_tissue,Neutrophils,127,29236,0.004343959501983855,131756856,6969937.682400001,1.822110982723583e-05,18.221109827235832
4h,4h_96,other_cardiac_tissue,Other Leukocytes,59,29236,0.002018059926118484,131756856,6969937.682400001,8.464925037849717e-06,8.464925037849717
4h,4h_96,other_cardiac_tissue,Smooth muscle cells,428,29236,0.014639485565740868,131756856,6969937.682400001,6.140657485084202e-05,61.40657485084202
4h,4h_96,remote_endocardial_region,Cardiomyocytes,616,839,0.734207389749702,2164812,114518.55480000001,0.0053790409866401835,5379.040986640183
4h,4h_96,remote_endocardial_region,Cardiomyocytes Ankrd1+,3,839,0.003575685339690107,2164812,114518.55480000001,2.6196628181689207e-05,26.196628181689206
4h,4h_96,remote_endocardial_region,Endocardial cells,64,839,0.07628128724672228,2164812,114518.55480000001,0.0005588614012093697,558.8614012093697
4h,4h_96,remote_endocardial_region,Endothelial cells,38,839,0.04529201430274136,2164812,114518.55480000001,0.00033182395696806325,331.82395696806327
4h,4h_96,remote_endocardial_region,Fibroblasts,109,839,0.1299165673420739,2164812,114518.55480000001,0.0009518108239347078,951.8108239347077
4h,4h_96,remote_endocardial_region,Macrophages Trem2+,5,839,0.0059594755661501785,2164812,114518.55480000001,4.366104696948201e-05,43.66104696948201
4h,4h_96,remote_endocardial_region,Macrophages Trem2-,2,839,0.0023837902264600714,2164812,114518.55480000001,1.7464418787792802e-05,17.464418787792802
4h,4h_96,remote_endocardial_region,Mono / Macros Ccr2+,1,839,0.0011918951132300357,2164812,114518.55480000001,8.732209393896401e-06,8.732209393896401
4h,4h_96,remote_endocardial_region,Smooth muscle cells,1,839,0.0011918951132300357,2164812,114518.55480000001,8.732209393896401e-06,8.732209393896401
4h,4h_97,border_zone,Cardiomyocytes,5870,10792,0.5439214232765011,53979983,2855541.1007000003,0.0020556524290828953,2055.652429082895
4h,4h_97,border_zone,Cardiomyocytes Ankrd1+,1986,10792,0.1840252038547072,53979983,2855541.1007000003,0.0006954899019009591,695.489901900959
4h,4h_97,border_zone,Endocardial cells,113,10792,0.010470719051149,53979983,2855541.1007000003,3.95721847506588e-05,39.5721847506588
4h,4h_97,border_zone,Endothelial cells,1164,10792,0.1078576723498888,53979983,2855541.1007000003,0.00040762852256430833,407.62852256430835
4h,4h_97,border_zone,Fibroblasts,557,10792,0.051612305411415864,53979983,2855541.1007000003,0.00019505935315147747,195.05935315147747
4h,4h_97,border_zone,Macrophages Trem2+,20,10792,0.0018532246108228317,53979983,2855541.1007000003,7.003926504541381e-06,7.003926504541381
4h,4h_97,border_zone,Macrophages Trem2-,14,10792,0.0012972572275759822,53979983,2855541.1007000003,4.902748553178966e-06,4.9027485531789665
4h,4h_97,border_zone,Mono / Macros Ccr2+,212,10792,0.019644180874722018,53979983,2855541.1007000003,7.424162094813863e-05,74.24162094813863
